,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
12713,CLE,2018,LeBron James,Kevin Love,Derrick Rose,J.R. Smith,Tristan Thompson,Dwyane Wade,Kyle Korver,Jae Crowder,Jeff Green,José Calderón,Channing Frye,Cedi Osman,,,
12714,DET,2018,Stanley Johnson,Andre Drummond,Avery Bradley,Tobias Harris,Reggie Jackson,Ish Smith,Anthony Tolliver,Reggie Bullock,Jon Leuer,Langston Galloway,,,,,
12715,GSW,2018,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,Zaza Pachulia,Andre Iguodala,Shaun Livingston,Nick Young,David West,JaVale McGee,Omri Casspi,,,,
12716,SAS,2018,LaMarcus Aldridge,Pau Gasol,Danny Green,Kyle Anderson,Dejounte Murray,Patty Mills,Rudy Gay,Manu Ginóbili,Brandon Paul,Bryn Forbes,Dāvis Bertāns,,,,
12717,IND,2018,Thaddeus Young,Darren Collison,Bojan Bogdanović,Domantas Sabonis,Victor Oladipo,Cory Joseph,Lance Stephenson,Al Jefferson,T.J. Leaf,Joe Young,,,,,
12718,WAS,2018,Bradley Beal,Otto Porter Jr.,Kelly Oubre Jr.,John Wall,Marcin Gortat,Tim Frazier,Jodie Meeks,Tomáš Satoranský,Jason Smith,Mike Scott,Ian Mahinmi,Chris McCullough,,,
12719,SAC,2018,Buddy Hield,De'Aaron Fox,Willie Cauley-Stein,Bogdan Bogdanović,Skal Labissière,Frank Mason III,Malachi Richardson,Garrett Temple,Kosta Koufos,Vince Carter,Justin Jackson,JaKarr Sampson,Georgios Papagiannis,,
12720,SAS,2018,Danny Green,Dejounte Murray,LaMarcus Aldridge,Pau Gasol,Kyle Anderson,Brandon Paul,Bryn Forbes,Rudy Gay,Patty Mills,Dāvis Bertāns,Derrick White,,,,
12721,BOS,2018,Jayson Tatum,Kyrie Irving,Jaylen Brown,Al Horford,Aron Baynes,Marcus Smart,Semi Ojeleye,Terry Rozier,Daniel Theis,Shane Larkin,Abdel Nader,Guerschon Yabusele,,,
12722,PHI,2018,Jerryd Bayless,Ben Simmons,Robert Covington,Dario Šarić,Joel Embiid,T.J. McConnell,Amir Johnson,Timothé Luwawu-Cabarrot,Justin Anderson,,,,,,
12723,HOU,2018,James Harden,Trevor Ariza,Eric Gordon,Ryan Anderson,Clint Capela,P.J. Tucker,Luc Mbah a Moute,Nenê,,,,,,,
12724,GSW,2018,Draymond Green,Stephen Curry,Klay Thompson,Kevin Durant,Zaza Pachulia,Andre Iguodala,Patrick McCaw,JaVale McGee,Shaun Livingston,David West,Jordan Bell,Omri Casspi,Nick Young,,
12725,LAC,2018,Danilo Gallinari,Blake Griffin,Austin Rivers,DeAndre Jordan,Patrick Beverley,Lou Williams,Sindarius Thornwell,Wesley Johnson,Willie Reed,Jawun Evans,Sam Dekker,Brice Johnson,Montrezl Harrell,,
12726,CHO,2018,Kemba Walker,Dwight Howard,Jeremy Lamb,Michael Kidd-Gilchrist,Marvin Williams,Malik Monk,Frank Kaminsky,Dwayne Bacon,Cody Zeller,Treveon Graham,,,,,
12727,MEM,2018,Marc Gasol,Mike Conley,James Ennis III,Jarell Martin,Andrew Harrison,Dillon Brooks,Tyreke Evans,Chandler Parsons,Mario Chalmers,Brandan Wright,,,,,
12728,MIN,2018,Andrew Wiggins,Jimmy Butler,Karl-Anthony Towns,Jeff Teague,Taj Gibson,Jamal Crawford,Tyus Jones,Nemanja Bjelica,Gorgui Dieng,Shabazz Muhammad,,,,,
12729,MIA,2018,Goran Dragić,Dion Waiters,Josh Richardson,Bam Adebayo,James Johnson,Kelly Olynyk,Justise Winslow,Tyler Johnson,Okaro White,Wayne Ellington,,,,,
12730,ORL,2018,Evan Fournier,Nikola Vučević,Terrence Ross,D.J. Augustin,Aaron Gordon,Jonathon Simmons,Marreese Speights,Shelvin Mack,Jonathan Isaac,Bismack Biyombo,Mario Hezonja,Arron Afflalo,Khem Birch,,
12731,NOP,2018,Anthony Davis,DeMarcus Cousins,Jrue Holiday,E'Twaun Moore,Dante Cunningham,Jameer Nelson,Tony Allen,Ian Clark,Cheick Diallo,Josh Smith,Darius Miller,,,,
12732,DEN,2018,Gary Harris,Paul Millsap,Jamal Murray,Nikola Jokić,Wilson Chandler,Will Barton,Emmanuel Mudiay,Mason Plumlee,Darrell Arthur,Malik Beasley,Kenneth Faried,,,,
12733,NYK,2018,Courtney Lee,Kristaps Porziņģis,Tim Hardaway Jr.,Jarrett Jack,Enes Freedom,Doug McDermott,Kyle O'Quinn,Frank Ntilikina,Michael Beasley,Damyean Dotson,Willy Hernangómez,,,,
12734,TOR,2018,DeMar DeRozan,Kyle Lowry,Lucas Nogueira,Pascal Siakam,Norman Powell,Delon Wright,OG Anunoby,C.J. Miles,Jakob Poeltl,Fred VanVleet,,,,,
12735,POR,2018,Damian Lillard,Al-Farouq Aminu,CJ McCollum,Jusuf Nurkić,Maurice Harkless,Evan Turner,Ed Davis,Pat Connaughton,Caleb Swanigan,Shabazz Napier,,,,,
12736,DAL,2018,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Nerlens Noel,Dennis Smith Jr.,J.J. Barea,Dwight Powell,Devin Harris,Yogi Ferrell,Salah Mejri,Gian Clavell,Maxi Kleber,Jeff Withey,,
12737,UTA,2018,Ricky Rubio,Rudy Gobert,Joe Ingles,Rodney Hood,Derrick Favors,Thabo Sefolosha,Donovan Mitchell,Joe Johnson,Ekpe Udoh,Alec Burks,Royce O'Neale,Jonas Jerebko,Raul Neto,,
12738,PHO,2018,Devin Booker,Mike James,T.J. Warren,Tyson Chandler,Marquese Chriss,Dragan Bender,Alex Len,Josh Jackson,Tyler Ulis,Troy Daniels,,,,,
12739,BRK,2018,DeMarre Carroll,Rondae Hollis-Jefferson,D'Angelo Russell,Caris LeVert,Timofey Mozgov,Allen Crabbe,Spencer Dinwiddie,Joe Harris,Trevor Booker,Tyler Zeller,,,,,
