Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Season Year
46,Jimmy Butler,SF,35,MIA,2,63,18.4,.462,.217,.826,8.3,11.2,9.8,33.1,2.4,3.2,6.0,23.3,,0.1,0.1,0.2,.121,,-0.4,-0.4,-0.8,0.0,2025
47,Matas Buzelis,SF,20,CHI,3,21,-0.1,.253,.444,.222,4.6,9.2,6.9,19.4,2.1,0.0,9.2,20.6,,-0.1,0.0,-0.1,-0.132,,-10.4,-2.7,-13.1,-0.1,2025
48,Kentavious Caldwell-Pope,SG,31,ORL,3,79,7.1,.388,.778,.333,1.4,4.4,2.8,8.3,3.0,6.2,12.7,12.7,,-0.1,0.1,0.1,.039,,-6.2,0.5,-5.7,-0.1,2025
49,Toumani Camara,PF,24,POR,2,55,11.7,.508,.429,.286,14.2,7.5,11.0,16.3,2.5,0.0,16.0,13.5,,0.0,0.0,0.1,.051,,-0.9,-2.3,-3.2,0.0,2025
50,Vlatko Čančar,PF,27,DEN,1,2,6.4,,,,0.0,52.7,25.7,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.099,,-7.3,-2.0,-9.2,0.0,2025
51,Clint Capela,C,30,ATL,2,41,16.0,.761,.000,.286,5.8,28.4,18.2,7.1,2.3,7.6,27.6,11.2,,0.0,0.1,0.1,.127,,-2.5,0.0,-2.5,0.0,2025
52,Carlton Carrington,PG,19,WAS,2,51,1.5,.391,.429,.429,0.0,11.6,5.1,15.6,0.0,4.0,19.4,16.0,,-0.1,0.0,-0.1,-0.138,,-9.6,-2.8,-12.4,-0.1,2025
53,Jevon Carter,PG,29,CHI,1,4,9.8,.000,1.000,.000,0.0,0.0,0.0,30.0,10.9,0.0,0.0,10.0,,0.0,0.0,0.0,.020,,-4.6,8.0,3.4,0.0,2025
54,Wendell Carter Jr.,C,25,ORL,3,89,13.3,.460,.444,.333,12.3,32.4,22.0,12.2,2.2,1.1,12.7,11.2,,0.1,0.2,0.3,.135,,-2.4,-0.9,-3.3,0.0,2025
55,D.J. Carton,SG,24,TOR,2,25,-0.4,.276,.400,.200,0.0,19.0,9.5,16.3,3.8,0.0,42.4,15.2,,-0.1,0.0,-0.1,-0.205,,-10.1,-1.1,-11.3,-0.1,2025
56,Alex Caruso,PG,30,OKC,2,41,6.3,.214,.571,.000,4.2,12.9,8.5,16.4,2.2,4.7,12.5,7.7,,-0.1,0.2,0.1,.135,,-7.9,4.3,-3.6,0.0,2025
57,Stephon Castle,PG,20,SAS,2,45,7.0,.422,.267,.600,5.3,4.1,4.6,25.3,2.1,2.0,20.9,22.8,,-0.1,0.0,-0.1,-0.055,,-7.2,-2.3,-9.5,-0.1,2025
58,Julian Champagnie,SF,23,SAS,2,53,19.6,.718,.600,.100,11.2,13.9,12.7,9.4,0.9,3.3,19.3,20.9,,0.1,0.0,0.1,.126,,3.9,-1.9,2.1,0.1,2025
59,Justin Champagnie,SF,23,WAS,1,4,7.8,,,,23.5,29.6,26.2,30.8,0.0,0.0,,0.0,,0.0,0.0,0.0,.181,,-12.2,2.6,-9.6,0.0,2025
60,Ulrich Chomche,PF,19,TOR,1,5,16.8,1.000,.000,.000,0.0,23.8,11.9,0.0,0.0,0.0,0.0,8.1,,0.0,0.0,0.0,.115,,1.8,-2.4,-0.7,0.0,2025
61,Max Christie,SG,21,LAL,3,41,2.4,.394,.750,.250,2.8,12.1,7.3,11.4,2.3,0.0,25.3,12.3,,-0.1,0.0,0.0,-0.044,,-8.4,-1.1,-9.4,-0.1,2025
62,Brandon Clarke,PF,28,MEM,3,43,2.4,.306,.267,.200,4.9,21.2,13.2,5.9,2.1,0.0,10.9,17.1,,-0.1,0.0,-0.1,-0.097,,-9.4,-3.2,-12.6,-0.1,2025
63,Jordan Clarkson,SG,32,UTA,2,49,13.0,.481,.346,.269,4.0,8.0,6.0,37.2,0.0,1.9,12.1,26.2,,0.0,0.0,-0.1,-0.052,,-0.3,-4.3,-4.6,0.0,2025
64,Nic Claxton,C,25,BRK,2,36,14.4,.517,.000,.750,3.1,31.2,16.3,12.4,2.6,5.5,8.6,13.4,,0.0,0.0,0.1,.093,,-2.4,1.8,-0.6,0.0,2025
65,Donovan Clingan,C,20,POR,2,27,12.2,.694,.000,1.000,7.3,22.9,14.9,0.0,1.7,18.0,41.0,10.8,,0.0,0.0,0.0,.029,,-6.7,2.2,-4.5,0.0,2025
66,Noah Clowney,PF,20,BRK,2,30,12.9,.470,.500,.143,14.7,16.6,15.6,0.0,3.2,3.3,11.8,23.3,,0.0,0.0,0.0,.001,,-3.4,-2.9,-6.3,0.0,2025
67,Amir Coffey,SG,27,LAC,2,50,9.8,.557,.556,.222,2.3,9.5,5.8,10.9,2.0,0.0,0.0,8.5,,0.1,0.1,0.1,.137,,-2.7,1.6,-1.1,0.0,2025
68,John Collins,PF,27,UTA,2,42,14.9,.507,.273,.273,7.1,21.0,14.1,18.9,2.2,4.5,16.9,27.4,,0.0,0.0,0.0,-0.017,,-3.5,-0.6,-4.1,0.0,2025
69,Zach Collins,PF,27,SAS,2,31,14.6,.571,.143,.286,15.3,26.8,21.8,13.5,1.5,0.0,11.3,12.3,,0.1,0.0,0.1,.177,,-2.0,-0.6,-2.6,0.0,2025
70,Mike Conley,PG,37,MIN,3,74,10.1,.374,.720,.280,6.2,7.3,6.7,22.2,3.3,2.2,12.5,18.9,,-0.1,0.1,0.1,.035,,-3.6,1.2,-2.4,0.0,2025
71,Pat Connaughton,SG,32,MIL,2,37,6.6,.400,.667,.000,9.2,15.1,12.4,6.8,0.0,2.2,11.8,19.5,,-0.1,0.0,-0.1,-0.076,,-5.6,-5.2,-10.9,-0.1,2025
72,Bilal Coulibaly,SF,20,WAS,2,65,15.4,.706,.500,.500,5.8,14.6,9.7,16.4,0.7,0.0,21.5,17.0,,0.1,-0.1,0.1,.040,,0.3,-2.4,-2.1,0.0,2025
73,Ricky Council IV,SG,23,PHI,2,13,9.5,.608,.500,1.000,0.0,9.7,4.2,0.0,0.0,0.0,14.8,21.2,,0.0,0.0,0.0,.037,,-2.5,-4.3,-6.8,0.0,2025
74,Cade Cunningham,PG,23,DET,3,112,17.6,.552,.290,.174,2.2,13.9,8.1,40.3,0.9,3.6,19.5,35.2,,0.0,0.0,0.0,-0.005,,1.2,-1.8,-0.7,0.0,2025
75,Seth Curry,SG,34,CHO,3,83,12.8,.567,.615,.115,6.2,7.5,6.8,9.1,1.8,1.1,3.5,13.7,,0.2,0.0,0.2,.124,,-0.4,-1.5,-2.0,0.0,2025
76,Stephen Curry,PG,36,GSW,2,52,21.6,.552,.667,.267,0.0,20.1,10.9,32.8,3.5,0.0,13.0,28.7,,0.2,0.2,0.4,.341,,0.7,2.0,2.7,0.1,2025
77,Tristan Da Silva,SF,23,ORL,1,5,-17.4,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.9,,0.0,0.0,0.0,-0.452,,-19.8,-8.7,-28.5,0.0,2025
78,Pacome Dadiet,SG,19,NYK,2,18,-2.6,.375,.500,.000,0.0,13.2,7.1,0.0,0.0,0.0,20.0,13.0,,-0.1,0.0,-0.1,-0.167,,-9.9,-5.3,-15.2,-0.1,2025
79,Dyson Daniels,PG,21,ATL,2,59,23.9,.694,.364,.182,6.0,4.9,5.4,17.7,5.6,5.2,7.8,18.4,,0.2,0.1,0.3,.204,,2.1,3.1,5.2,0.1,2025
80,Anthony Davis,PF,31,LAL,3,113,35.1,.673,.089,.804,7.1,28.6,17.4,14.3,2.1,6.7,5.0,29.9,,0.7,0.2,0.8,.357,,8.6,1.3,9.9,0.3,2025
81,Johnny Davis,SG,22,WAS,2,10,-0.2,.250,.250,.000,9.4,0.0,5.2,14.0,0.0,0.0,0.0,15.8,,0.0,0.0,0.0,-0.163,,-10.5,-5.4,-15.8,0.0,2025
82,JD Davison,PG,22,BOS,1,8,-20.5,.000,1.000,.000,0.0,15.8,7.4,14.1,0.0,0.0,75.0,21.7,,-0.1,0.0,-0.1,-0.568,,-19.6,-7.3,-26.9,-0.1,2025
83,DeMar DeRozan,SG,35,SAC,2,80,18.8,.646,.167,.600,1.6,10.5,6.1,9.4,2.3,0.0,9.5,22.9,,0.2,0.0,0.2,.106,,0.4,-1.6,-1.2,0.0,2025
84,Moussa Diabaté,PF,23,CHO,3,33,13.1,.461,.000,.500,15.5,18.8,17.1,0.0,1.5,5.6,9.3,13.1,,0.0,0.0,0.0,.056,,-3.5,-2.6,-6.1,0.0,2025
85,Gradey Dick,SG,21,TOR,3,83,13.8,.590,.500,.211,1.4,4.3,2.9,6.3,1.2,2.3,6.7,21.7,,0.2,0.0,0.1,.086,,0.4,-2.9,-2.5,0.0,2025
